Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16123975,"Last Stand of Dead Men (Skulduggery Pleasant, #8)",Derek Landy,"Landy, Derek",,"=""000748920X""","=""9780007489206""",0,4.57,HarperCollinsChildren'sBooks,Hardcover,604,2013,2013,,2021/06/24,,,read,,,,1,0
13537640,"Kingdom of the Wicked (Skulduggery Pleasant, #7)",Derek Landy,"Landy, Derek",,"=""0007480229""","=""9780007480227""",0,4.47,HarperCollins Children’s Books,Hardcover,607,2012,2012,,2021/06/24,,,read,,,,1,0
10221341,"Death Bringer (Skulduggery Pleasant, #6)",Derek Landy,"Landy, Derek",,"=""0007426194""","=""9780007426195""",0,4.47,HarperCollins Children's,Audio CD,609,2011,2011,,2021/06/24,,,read,,,,1,0
8113344,"Mortal Coil (Skulduggery Pleasant, #5)",Derek Landy,"Landy, Derek",,"=""0007325983""","=""9780007325986""",0,4.45,HarperCollins Children's Books,Hardcover,604,2010,2010,,2021/06/24,,,read,,,,1,0
40103178,"Dark Days (Skulduggery Pleasant, #4)",Derek Landy,"Landy, Derek",,"=""""","=""""",0,4.41,HarperCollins Children's Books,Kindle Edition,419,2018,2010,,2021/06/24,,,read,,,,1,0
4893390,"The Faceless Ones (Skulduggery Pleasant, #3)",Derek Landy,"Landy, Derek",,"=""0007302142""","=""9780007302147""",0,4.40,HarperCollins Children's Books,Hardcover,395,2009,2008,,2021/06/24,,,read,,,,1,0
2157243,"Playing with Fire (Skulduggery Pleasant, #2)",Derek Landy,"Landy, Derek",,"=""0061240885""","=""9780061240881""",0,4.29,HarperCollins,Hardcover,389,2008,2008,,2021/06/24,,,read,,,,1,0
284440,"Skulduggery Pleasant (Skulduggery Pleasant, #1)",Derek Landy,"Landy, Derek",Tom Percival,"=""0061231150""","=""9780061231155""",0,4.18,HarperCollins,Hardcover,392,2007,2007,,2021/06/24,,,read,,,,1,0
25734172,Seven Brief Lessons on Physics,Carlo Rovelli,"Rovelli, Carlo",,"=""0399184414""","=""9780399184413""",0,3.99,Riverhead Books,Hardcover,81,2016,2014,,2021/06/24,,,read,,,,2,0
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",0,4.08,W. W. Norton & Company,Hardcover,223,2017,2017,,2021/06/24,,,read,,,,1,0
53481723,Drug Use for Grown-Ups: Chasing Liberty in the Land of Fear,Carl L. Hart,"Hart, Carl L.",,"=""1101981644""","=""9781101981641""",0,4.02,Penguin Press,Hardcover,304,2021,2021,,2021/06/24,,,read,,,,1,0
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",0,4.22,Crown,Paperback,544,2004,2003,,2021/06/24,,,read,,,,1,0
7507825,At Home: A Short History of Private Life,Bill Bryson,"Bryson, Bill",,"=""0767919386""","=""9780767919388""",0,3.99,Doubleday,Hardcover,497,2010,2010,,2021/06/24,,,read,,,,1,0
17978489,"The Future of the Mind: The Scientific Quest to Understand, Enhance, and Empower the Mind",Michio Kaku,"Kaku, Michio",,"=""038553082X""","=""9780385530828""",0,4.08,Doubleday,Hardcover,377,2014,2014,,2021/06/24,,,read,,,,1,0
36578942,"The 100-Year-Old Man Who Climbed Out the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,"Jonasson, Jonas",,"=""""","=""""",0,3.82,Hachette Books,Kindle Edition,396,2012,2009,,2021/06/24,,,read,,,,2,0
51654,DMT: The Spirit Molecule,Rick Strassman,"Strassman, Rick",,"=""0892819278""","=""9780892819270""",0,4.16,Park Street Press,Paperback,363,2001,2000,,2021/06/24,,,read,,,,1,0
