Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
338798,Ulysses,James Joyce,"Joyce, James","Morris L. Ernst, John M. Woolsey","=""""","=""""",0,3.77,Vintage,Paperback,783,1990,1922,,2022/12/20,to-read,to-read (#10),to-read,,,,0,0
7588,A Portrait of the Artist as a Young Man,James Joyce,"Joyce, James",Seamus Deane,"=""0142437344""","=""9780142437346""",0,3.64,Penguin Classics,Paperback,329,2003,1916,,2022/12/20,to-read,to-read (#9),to-read,,,,0,0
11012,Dubliners,James Joyce,"Joyce, James","Jeri Johnson, Terence Brown","=""""","=""""",0,3.84,Oxford University Press,Paperback,352,2001,1914,,2022/12/20,to-read,to-read (#8),to-read,,,,0,0
17601,"The Will to Change: Men, Masculinity, and Love",bell hooks,"hooks, bell",,"=""0743456084""","=""9780743456081""",0,4.36,Washington Square Press,Paperback,208,2004,2003,,2022/12/20,to-read,to-read (#7),to-read,,,,0,0
51378,Feminist Theory: From Margin to Center,bell hooks,"hooks, bell",,"=""0896082210""","=""9780896082212""",0,4.45,South End Press,Paperback,174,1984,1984,,2022/12/20,to-read,to-read (#6),to-read,,,,0,0
12617,Manufacturing Consent: The Political Economy of the Mass Media,Edward S. Herman,"Herman, Edward S.",Noam Chomsky,"=""0375714499""","=""9780375714498""",0,4.24,Knopf Doubleday Publishing Group,Paperback,412,2002,1988,,2022/12/20,to-read,to-read (#5),to-read,,,,0,0
32187419,Conversations with Friends,Sally Rooney,"Rooney, Sally",,"=""0451499077""","=""9780451499073""",4,3.74,Hogarth,Kindle Edition,304,2017,2017,,2022/05/16,,,read,,,,1,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",0,4.31,Ecco,Paperback,408,2012,2011,,2022/08/24,to-read,to-read (#4),to-read,,,,0,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385539258""","=""9780385539258""",0,4.29,Doubleday,Hardcover,720,2015,2015,,2022/08/24,to-read,to-read (#3),to-read,,,,0,0
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",2,4.12,Dutton Books,Hardcover,313,2012,2012,,2022/05/16,,,read,,,,1,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",5,3.81,Crown,Hardcover,273,2019,2018,,2022/05/15,,,read,,,,1,0
56597885,"Beautiful World, Where Are You",Sally Rooney,"Rooney, Sally",,"=""0374602603""","=""9780374602604""",4,3.53,"Farrar, Straus and Giroux",Hardcover,356,2021,2021,,2022/05/16,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""0743273567""","=""9780743273565""",5,3.93,Scribner,Paperback,180,1925,1925,,2022/05/16,,,read,,,,1,0
51791252,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""0525536299""","=""9780525536291""",0,4.13,Riverhead Books,Hardcover,343,2020,2020,,2022/08/24,to-read,to-read (#2),to-read,,,,0,0
52867387,Beach Read,Emily Henry,"Henry, Emily",,"=""1984806734""","=""9781984806734""",0,3.98,Berkley,Paperback,358,2020,2020,,2022/08/02,to-read,to-read (#1),to-read,,,,0,0
123933,No Exit,Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""0573613052""","=""9780573613050""",0,4.11,Concord Theatricals,Paperback,60,1958,1944,,2022/05/16,,,read,,,,1,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",0,3.90,Bantam Classics,Mass Market Paperback,201,1972,1915,,2022/05/16,,,read,,,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Joseph Frank, David McDuff","=""""","=""""",0,4.28,Penguin,Paperback,671,2002,1866,,2022/05/16,,,read,,,,1,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",0,4.01,Signet Classics,Mass Market Paperback,141,1996,1945,2024/08/29,2022/05/16,,,read,,,,1,0
6372,The DaVinci Code: A Quest for Answers,Josh McDowell,"McDowell, Josh",,"=""1932587802""","=""9781932587807""",0,4.46,Green Key Books,Paperback,120,2006,2006,,2022/05/16,,,read,,,,1,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte Gordon,"=""0143131842""","=""9780143131847""",0,3.89,Penguin Classics,Paperback,260,2018,1818,,2022/05/16,,,read,,,,1,0
7733,Gulliver’s Travels,Jonathan Swift,"Swift, Jonathan",Robert DeMaria Jr.,"=""0141439491""","=""9780141439495""",0,3.59,Penguin,Paperback,306,2017,1726,,2022/05/16,,,read,,,,1,0
15848107,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis",,"=""""","=""""",0,3.83,,Kindle Edition,96,2012,1886,,2022/05/16,,,read,,,,1,0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","John Bugg, Robert Heindel, Charlotte Brontë, Richard J. Dunn","=""""","=""""",0,3.90,Norton,Paperback,464,2002,1847,,2022/05/16,,,read,,,,1,0
6442769,Paper Towns,John Green,"Green, John",Gázsity Mila,"=""014241493X""","=""9780142414934""",0,3.70,Speak,Paperback,305,2009,2008,,2022/05/16,,,read,,,,1,0
