Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58261061,Michel the Giant: An African in Greenland (Penguin Modern Classics),Tété-Michel Kpomassie,"Kpomassie, Tété-Michel",,"=""0241554535""","=""9780241554531""",0,4.10,Penguin Classics,Paperback,328,2022,1981,,2022/02/04,to-read,to-read (#65),to-read,,,,0,0
58788297,Just the Plague,Lyudmila Ulitskaya,"Ulitskaya, Lyudmila","Lyudmila Ulitskaya, Polly Gannon","=""1783788054""","=""9781783788057""",0,3.56,Granta,Paperback,144,2021,2020,,2022/01/24,to-read,to-read (#64),to-read,,,,0,0
53754914,Hurdy Gurdy,Christopher Wilson,"Wilson, Christopher",,"=""0571361943""","=""9780571361946""",0,3.28,Faber & Faber,Hardcover,256,2021,2021,,2022/01/24,to-read,to-read (#63),to-read,,,,0,0
57694414,The Sex Lives of African Women,Nana Darkoa Sekyiamah,"Sekyiamah, Nana Darkoa",,"=""0349701652""","=""9780349701653""",0,3.97,Dialogue Books,Hardcover,304,2021,2021,,2022/01/21,to-read,to-read (#62),to-read,,,,0,0
18249394,Game of Thrones: A Pop-Up Guide to Westeros,Matthew Reinhart,"Reinhart, Matthew",Michael Komarck,"=""1608873145""","=""9781608873142""",0,4.62,Insight Editions,Hardcover,14,2014,2014,,2022/01/12,,,read,,,,1,0
3087,A Room with a View,E.M. Forster,"Forster, E.M.",,"=""1420925431""","=""9781420925432""",0,3.90,Digireads.Com,Paperback,119,2005,1908,,2022/01/10,to-read,to-read (#61),to-read,,,,0,0
767478,The Female Quixote,Charlotte Lennox,"Lennox, Charlotte","Duncan Isles, Margaret Anne Doody, Margaret Dalziel","=""0192835726""","=""9780192835727""",0,3.52,Oxford University Press,Paperback,464,1998,1752,,2022/01/09,to-read,to-read (#60),to-read,,,,0,0
18799,Sodom and Gomorrah,Marcel Proust,"Proust, Marcel","John Sturrock, Christopher Prendergast","=""0143039318""","=""9780143039310""",0,4.32,Penguin Classics,Paperback,557,2005,1922,,2022/01/03,to-read,to-read (#59),to-read,,,,0,0
51985,Existentialism is a Humanism,Jean-Paul Sartre,"Sartre, Jean-Paul","Arlette Elkaïm-Sartre, Annie Cohen-Solal, Carol Macomber","=""0300115466""","=""9780300115468""",0,3.98,Yale University Press,Paperback,122,2007,1946,,2022/01/01,to-read,to-read (#58),to-read,,,,0,0
24965,Fear and Trembling,Søren Kierkegaard,"Kierkegaard, Søren",Alastair Hannay,"=""0143037579""","=""9780143037576""",0,4.00,Penguin Books,Paperback,152,2006,1843,,2022/01/01,to-read,to-read (#57),to-read,,,,0,0
59716,To the Lighthouse,Virginia Woolf,"Woolf, Virginia",Eudora Welty,"=""""","=""""",0,3.81,Harvest Books,Paperback,209,1989,1927,,2022/01/01,to-read,to-read (#56),to-read,,,,0,0
13006,Julius Caesar,William Shakespeare,"Shakespeare, William","Harold Bloom, Roma Gill, William Allan Neilson","=""0198320272""","=""9780198320272""",0,3.71,Oxford University Press,Paperback,175,2002,1599,,2022/01/01,,,read,,,,1,0
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Norman MacAfee, Charles E. Wilbour, Lee Fahnestock, Isabel Florence Hapgood","=""0451525264""","=""9780451525260""",0,4.21,Penguin,Mass Market Paperback,1463,1987,1862,,2022/01/01,to-read,to-read (#54),to-read,,,,0,0
20758061,Stories of Art and Artists (Everyman's Library Pocket Classics Series),Diana Secker Tesdell,"Tesdell, Diana Secker",,"=""0375712496""","=""9780375712494""",0,3.82,Everyman's Library,Hardcover,400,2014,2014,,2021/12/29,to-read,to-read (#53),to-read,,,,0,0
15698,Caligula,Albert Camus,"Camus, Albert",Pierre-Louis Rey,"=""""","=""""",0,4.10,Gallimard ,Mass Market Paperback,224,1993,1944,,2021/12/29,to-read,to-read (#52),to-read,,,,0,0
1205517,The Survival of the Pagan Gods: The Mythological Tradition and its Place in Renaissance Humanism and Art,Jean Seznec,"Seznec, Jean",Barbara F. Sessions,"=""0691029881""","=""9780691029887""",0,4.16,Princeton University Press,Paperback,392,1953,1940,,2021/12/25,to-read,to-read (#50),to-read,,,,0,0
20658501,Confessions of an Italian,Ippolito Nievo,"Nievo, Ippolito","Frederika Randall, Lucy Riall","=""0141391669""","=""9780141391663""",0,3.91,Penguin Books,Paperback,928,2014,1867,,2021/12/25,to-read,to-read (#48),to-read,,,,0,0
55877595,The Dragonfly Will Be the Messiah,Masanobu Fukuoka,"Fukuoka, Masanobu",Larry Korn,"=""0241514444""","=""9780241514443""",0,3.53,Penguin Classics,Paperback,87,2021,,,2021/11/25,to-read,to-read (#47),to-read,,,,0,0
4616580,Teleology and the Norms of Nature (Studies in Philosophy),Wil FitzPatrick,"FitzPatrick, Wil",,"=""0815336020""","=""9780815336020""",0,3.67,Garland,Hardcover,402,2000,2000,,2021/11/16,to-read,to-read (#46),to-read,,,,0,0
7015635,Food Rules: An Eater's Manual,Michael Pollan,"Pollan, Michael",,"=""014311638X""","=""9780143116387""",3,3.99,Penguin Books,Paperback,152,2009,2008,,2021/11/15,,,read,,,,1,0
768387,Culture and the Evolutionary Process,Robert   Boyd,"Boyd, Robert",Peter J. Richerson,"=""0226069338""","=""9780226069333""",0,4.00,University of Chicago Press,Paperback,339,1988,1985,,2021/11/15,to-read,to-read (#45),to-read,,,,0,0
13603795,The Philosophy of Food,David M. Kaplan,"Kaplan, David M.",,"=""0520269349""","=""9780520269347""",0,3.63,University of California Press,Paperback,312,2012,2010,,2021/11/14,to-read,to-read (#44),to-read,,,,0,0
93135,The Romance of the Forest,Ann Radcliffe,"Radcliffe, Ann",,"=""0543930130""","=""9780543930132""",0,3.50,Adamant Media Corporation,Paperback,326,2011,1791,,2021/08/15,to-read,to-read (#43),to-read,,,,0,0
54860573,Once There Were Wolves,Charlotte McConaghy,"McConaghy, Charlotte",,"=""1250244145""","=""9781250244147""",0,4.09,Flatiron Books,Hardcover,258,2021,2021,,2021/08/14,to-read,to-read (#42),to-read,,,,0,0
27410,The Library of Greek Mythology,Apollodorus of Athens,"Athens, Apollodorus of",Robin Hard,"=""0192839241""","=""9780192839244""",0,3.91,Oxford University Press,Paperback,336,1999,200,,2021/08/12,to-read,to-read (#41),to-read,,,,0,0
29022,The Twelve Caesars,Suetonius,"Suetonius, Suetonius","Michael    Grant, Robert Graves","=""0140449213""","=""9780140449211""",0,4.02,Penguin Classics,Paperback,363,2003,121,,2021/08/11,to-read,to-read (#40),to-read,,,,0,0
168642,In Cold Blood,Truman Capote,"Capote, Truman",,"=""0679745580""","=""9780679745587""",0,4.09,Vintage,Paperback,343,1994,1966,,2021/08/05,to-read,to-read (#39),to-read,,,,0,0
156152,Tales of Mystery and Imagination,Edgar Allan Poe,"Poe, Edgar Allan",Gary Kelley,"=""0151002347""","=""9780151002344""",0,4.09,Creative Editions,Hardcover,496,1996,1842,,2021/06/07,to-read,to-read (#38),to-read,,,,0,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",5,4.31,Ecco,Paperback,408,2012,2011,,2021/07/25,,,read,,,,1,0
10505,History of Beauty,Umberto Eco,"Eco, Umberto",Alastair McEwen,"=""0847826465""","=""9780847826469""",0,3.83,Rizzoli,Paperback,438,2004,2004,,2021/07/16,to-read,to-read (#37),to-read,,,,0,0
34217510,"Fatal Discord: Erasmus, Luther, and the Fight for the Western Mind",Michael Massing,"Massing, Michael",,"=""0060517603""","=""9780060517601""",0,4.43,Harper/HarperCollins Publishers L.L.C.,Hardcover,1008,2018,2018,,2021/07/15,to-read,to-read (#36),to-read,,,,0,0
5954,Narcissus and Goldmund,Hermann Hesse,"Hesse, Hermann",Ursule Molinaro,"=""0374506841""","=""9780374506841""",4,4.22,"The Noonday Press / Farrar, Straus Giroux",Paperback,315,1997,1930,,2021/07/15,,,read,,,,1,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",4,4.01,Signet Classics,Mass Market Paperback,141,1996,1945,,2021/07/11,,,read,,,,1,0
99561,Looking for Alaska,John Green,"Green, John",,"=""1435249151""","=""9781435249158""",2,3.96,Speak,Paperback,221,2006,2005,,2021/07/06,,,read,,,,1,0
34684622,Leonardo da Vinci,Walter Isaacson,"Isaacson, Walter",,"=""1501139150""","=""9781501139154""",0,4.19,Simon & Schuster,Hardcover,600,2017,2017,,2021/07/04,to-read,to-read (#35),to-read,,,,0,0
343,Perfume. The story of a murderer,Patrick Süskind,"Süskind, Patrick",John E. Woods,"=""""","=""""",0,4.04,Penguin Books,Paperback,263,1987,1985,,2021/06/28,to-read,to-read (#34),to-read,,,,0,0
153529,Madame de Pompadour,Nancy Mitford,"Mitford, Nancy",Amanda Foreman,"=""094032265X""","=""9780940322653""",0,3.86,NYRB Classics,Paperback,312,2001,1954,,2021/06/20,to-read,to-read (#33),to-read,,,,0,0
62805,The Sound of Waves,Yukio Mishima,"Mishima, Yukio",,"=""0099289989""","=""9780099289982""",0,3.77,Vintage Classics,Paperback,183,2000,1954,,2021/06/19,to-read,to-read (#32),to-read,,,,0,0
68542,"The History of Rome, Books 1-5: The Early History of Rome",Livy,"Livy, Livy","Aubrey de Sélincourt, Robert Maxwell Ogilvie, Stephen P. Oakley","=""0140448098""","=""9780140448092""",0,3.96,Penguin Classics,Paperback,488,2002,-29,,2021/06/15,to-read,to-read (#31),to-read,,,,0,0
7588,A Portrait of the Artist as a Young Man,James Joyce,"Joyce, James",Seamus Deane,"=""0142437344""","=""9780142437346""",0,3.64,Penguin Classics,Paperback,329,2003,1916,,2021/06/15,to-read,to-read (#30),to-read,,,,0,0
52357,Beowulf,Unknown,"Unknown, Unknown",Seamus Heaney,"=""0393320979""","=""9780393320978""",0,3.50,W.W. Norton & Company,Paperback,259,2001,1000,,2021/06/15,to-read,to-read (#29),to-read,,,,0,0
12985,The Tempest,William Shakespeare,"Shakespeare, William","Paul Werstine, David Lindley, Israel Gollancz, Barbara A. Mowat, Arthur Wilson Verity, Georg Brandes, G.B. Harrison, William James Rolfe","=""""","=""""",4,3.78,Washington Square Press,Mass Market Paperback,218,2004,1611,,2021/06/15,,,read,,,,1,0
8217236,The Yellow Wallpaper,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",,"=""""","=""""",4,4.07,Public Domain Books,Kindle Edition,63,2009,1892,,2021/06/06,,,read,,,,1,0
291,The Broken Wings,Kahlil Gibran,"Gibran, Kahlil",Anthony Rizcallah Ferris,"=""0806501901""","=""9780806501901""",0,3.96,Kensington Publishing Corp.,Paperback,132,1998,1912,,2021/06/06,to-read,to-read (#28),to-read,,,,0,0
98374,M: The Man Who Became Caravaggio,Peter Robb,"Robb, Peter",,"=""0312274742""","=""9780312274740""",0,3.94,Picador,Paperback,570,2001,1998,,2021/06/03,to-read,to-read (#27),to-read,,,,0,0
1362,The Histories,Herodotus,"Herodotus, Herodotus","John M. Marincola, Aubrey de Sélincourt, Betty Radice","=""0140449086""","=""9780140449082""",0,4.01,Penguin Books,Paperback,784,2003,-430,,2021/06/03,to-read,to-read (#26),to-read,,,,0,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",0,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2021/06/03,to-read,to-read (#25),to-read,,,,0,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",0,4.16,Penguin,Paperback,532,2003,1846,,2021/06/03,to-read,to-read (#24),to-read,,,,0,0
46730,A Journal of the Plague Year,Daniel Defoe,"Defoe, Daniel",Cynthia Wall,"=""0140437851""","=""9780140437850""",0,3.56,Penguin Classics,Paperback,289,2003,1722,,2021/05/29,to-read,to-read (#23),to-read,,,,0,0
3103,Maurice,E.M. Forster,"Forster, E.M.",,"=""0393310329""","=""9780393310320""",0,4.08,W. W. Norton  Company,Paperback,256,2005,1971,,2021/05/26,to-read,to-read (#22),to-read,,,,0,0
